id,Département,Type de document,Numéro de l'arrêté,Titre de l'arrêté,Date de signature de l'arrêté,Numéro du RAA,Date de publication du RAA,URL du RAA,Page début,Page fin,Campagne Aspas concernée,Sujet,Statut de traitement,Commentaire
1,04,0,0,,12/05/2025,0,24/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41922/250348/file/recueil-04-2025-084-recueil-des-actes-administratifs.pdf,3,9,0,32,0,0
1,04,0,0,,12/05/2025,0,24/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41922/250348/file/recueil-04-2025-084-recueil-des-actes-administratifs.pdf,10,14,0,1-5-6-14-15-18-20-21-28-29-32,0,0
1,04,0,0,,12/05/2025,0,23/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41918/250328/file/recueil-04-2025-083-recueil-des-actes-administratifs-nominatifs.pdf,3,10,0,,0,0
1,04,0,0,,12/05/2025,0,23/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41918/250328/file/recueil-04-2025-083-recueil-des-actes-administratifs-nominatifs.pdf,11,15,0,1-5-6-14-15-18-20-21-28-29-32,0,0
1,04,0,0,,12/05/2025,0,23/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41918/250328/file/recueil-04-2025-083-recueil-des-actes-administratifs-nominatifs.pdf,16,20,0,1-5-6-14-15-18-20-21-28-29-32,0,0
1,04,0,0,,12/05/2025,0,23/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41920/250338/file/recueil-04-2025-082-recueil-des-actes-administratifs.pdf,3,8,0,,0,0
1,04,0,0,,12/05/2025,0,23/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41920/250338/file/recueil-04-2025-082-recueil-des-actes-administratifs.pdf,9,15,0,,0,0
1,04,0,0,,12/05/2025,0,18/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41910/250273/file/recueil-04-2025-081-recueil-des-actes-administratifs.pdf,3,5,0,,0,0
1,04,0,0,,12/05/2025,0,18/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41910/250273/file/recueil-04-2025-081-recueil-des-actes-administratifs.pdf,6,4,0,,0,0
1,04,0,0,,12/05/2025,0,18/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41910/250273/file/recueil-04-2025-081-recueil-des-actes-administratifs.pdf,5,12,0,,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41907/250247/file/recueil-04-2025-080-recueil-des-actes-administratifs.pdf,3,5,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41907/250247/file/recueil-04-2025-080-recueil-des-actes-administratifs.pdf,6,8,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41907/250247/file/recueil-04-2025-080-recueil-des-actes-administratifs.pdf,9,11,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41907/250247/file/recueil-04-2025-080-recueil-des-actes-administratifs.pdf,12,14,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41907/250247/file/recueil-04-2025-080-recueil-des-actes-administratifs.pdf,15,17,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41907/250247/file/recueil-04-2025-080-recueil-des-actes-administratifs.pdf,18,20,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41907/250247/file/recueil-04-2025-080-recueil-des-actes-administratifs.pdf,21,23,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41907/250247/file/recueil-04-2025-080-recueil-des-actes-administratifs.pdf,24,26,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41907/250247/file/recueil-04-2025-080-recueil-des-actes-administratifs.pdf,27,29,0,5-14,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41907/250247/file/recueil-04-2025-080-recueil-des-actes-administratifs.pdf,30,32,0,5,0,0
1,04,0,0,,12/05/2025,0,17/04/2025,https://www.alpes-de-haute-provence.gouv.fr/contenu/telechargement/41906/250242/file/recueil-04-2025-079-recueil-des-actes-administratifs.pdf,4,10,0,,0,0
