id,Département,Type de document,Numéro de l'arrêté,Titre de l'arrêté,Date de signature de l'arrêté,Numéro du RAA,Date de publication du RAA,URL du RAA,Pages début,Page fin,Campagne Aspas concernée,Sujet,Statut de traitement,Commentaire
57000,57,Arrêté préfectoral,2025-DDT-SERAF-UFC n°17,"ARRÊTE 2025-DDT-SERAF-UFC n°17 fixant la liste des espèces chassables et les dates d'ouverture et de fermeture de la chasse dans le département de la Moselle, saison 2025-2026",07/04/2025,71,08/04/2025,https://mc.moselle.gouv.fr/raa.html?adminedit=1?op=raa&do=raa_rec&page=1,3,8,Espèce protégée ,chasse,0,
57001,57,Arrêté municipal,2025-DDT/SABE/EAU - N°15,"ARRÊTE 2025-DDT/SABE/EAU - N°15 du 31 mars 2025 portant déclaration d'intérêt général (DIG) des travaux de renaturation du ruisseau de la Bibiche et de ses affluents sur le territoire des communes de Bettelainville, Trémery, Luttange, Metzeresche, Metzervisse, Distroff, Kuntzig, Valmestroff, Basse-Ham ",31/03/2025,69,04/04/2024,https://mc.moselle.gouv.fr/raa.html?adminedit=1?op=raa&do=raa_rec&page=1,7,11,Chasse ,"espèce animale protégée, destruction",1,"peu intéressant, ne concerne pas vraiment les campagnes de l'ASPAS"
57002,57,Consultation publique,2025-DDT-SERAF-UFC-n°18,ARRÊTE N°2025-DDT-SERAF-UFC-n°18 du 7 avril 2025 autorisant le tir de nuit du sanglier du 15 avril 2025 au 1er février 2026,07/04/2025,71,08/04/2025,https://mc.moselle.gouv.fr/raa.html?adminedit=1?op=raa&do=raa_rec&page=1,9,11,CDCFS,sanglier,0,
57003,57,Arrêté préfectoral,2025-DCAT-BEPE-124,ARRÊTE 2025-DCAT-BEPE-124 du 4 avril 2025 portant autorisation des agents du parc naturel régional de Lorraine et du bureau d'étude Elément 5 mandatés par lui de pénétrer sur des propriétés privées pour procéder à la cartographie et à la caractérisation de zones humides sur les communes listées dans l'annexe 1,04/04/2025,73,09/04/2025,https://mc.moselle.gouv.fr/raa.html?adminedit=1?op=raa&do=raa_rec&page=1,19,26,ESOD,SDG,1,on aime les animaux
