id,Département,Type de document,Numéro de l'arrêté,Titre de l'arrêté,Date de signature de l'arrêté,Numéro du RAA,Date de publication du RAA,URL du RAA,Page début,Page fin,Campagne Aspas concernée,Sujet,Statut de traitement,Commentaire
38000,38,Arrêté préfectoral,"38-2023-01-17-00005",Arrêté autorisant le GAEC des Amarines représenté par Mme Agnès VALLON à effectuer des tirs de défense renforcée en vue de la protection de son troupeau contre la prédation du loup (Canis lupus),17/01/2023,38-2023-010,18/01/2023,https://www.isere.gouv.fr/content/download/66404/434760/file/recueil-38-2023-010-recueil-des-actes-administratifs.pdf,50,54,Espèce protégée,"loup, tir",0,
38001,38,Arrêté municipal,38-2023-01-23-00003,"Arrêté préfectoral portant délimitation des cercles 1, 2 et 3 de la mesure de protection des troupeaux contre la prédation pour l'année 2023",23/01/2023,38-2023-014,24/01/2023,https://www.isere.gouv.fr/content/download/66477/435254/file/recueil-38-2023-014-recueil-des-actes-administratifs-special.pdf,3,10,Chasse,prédation,1,"Arrêté préfectoral ordonnant une battue administrative : dérogatoire à la chasse (tir de nuit, chasse hors période de chasse) encadré par les lieutenants de louvèterie"
38002,38,Consultation publique,38-2023-01-23-00006,Arrêté autorisant Mr Marc Antoine PELAZ à effectuer des tirs de défense simple en vue de la protection de son troupeau ovin-caprin contre la prédation du loup,08/02/2023,38-2023-016,14/02/2023,https://www.isere.gouv.fr/Publications/RAA-Recueil-des-actes-administratifs/Recueils-des-Actes-Administratifs-de-la-prefecture-de-l-Isere-2023,7,12,CDCFS,"tir, loup",0,
38003,38,Arrêté préfectoral,,Arrêté reconduisant des tirs de défense renforcée autorisés en 2022 en vue de la protection des troupeaux contre la prédation du loup (Canis lupus),08/02/2023,38-2023-028,14/02/2023,https://www.isere.gouv.fr/Publications/RAA-Recueil-des-actes-administratifs/Recueils-des-Actes-Administratifs-de-la-prefecture-de-l-Isere-2023,13,16,ESOD G3,"tir, loup",1,Arrêté préfectoral fixant ou modifiant la liste de membres de la Commission départementale de la chasse et de la faune sauvage
38004,38,Arrêté préfectoral,38-2023-03-06-00006,Arrêté préfectoral fixant les quotas du plan de chasse au grand gibier pour la campagne cynégétique 2023-2024,06/03/2023,38-2023-043,08/03/2023,https://www.isere.gouv.fr/contenu/telechargement/66986/537454/file/recueil-38-2023-043-recueil-des-actes-administratifs.pdf,48,54,Chasse,chasse,0,
38005,38,Arrêté préfectoral,38-2023-08-23-00004,"Arrêté autorisant Monsieur MARTIN Eric à effectuer des tirs de défense renforcée en vue de la protection de son troupeau ovin contre la prédation du loup (Canis lupus)",23/08/2023,38-2023-175,24/08/2023,https://www.isere.gouv.fr/contenu/telechargement/69351/552972/file/recueil-38-2023-175-recueil-des-actes-administratifs-special.pdf,15,21,Espèce protégée,"tirs de défense, loup",0,
